Typeface name,Dingbat dec,Dingbat hex,Unicode dec,Unicode hex
Symbol,32,20,32,20
Symbol,33,21,33,21
Symbol,34,22,8704,2200
Symbol,35,23,35,23
Symbol,36,24,8707,2203
Symbol,37,25,37,25
Symbol,38,26,38,26
Symbol,39,27,8717,220D
Symbol,40,28,40,28
Symbol,41,29,41,29
Symbol,42,2A,42,2A
Symbol,43,2B,43,2B
Symbol,44,2C,44,2C
Symbol,45,2D,8722,2212
Symbol,46,2E,46,2E
Symbol,47,2F,47,2F
Symbol,48,30,48,30
Symbol,49,31,49,31
Symbol,50,32,50,32
Symbol,51,33,51,33
Symbol,52,34,52,34
Symbol,53,35,53,35
Symbol,54,36,54,36
Symbol,55,37,55,37
Symbol,56,38,56,38
Symbol,57,39,57,39
Symbol,58,3A,58,3A
Symbol,59,3B,59,3B
Symbol,60,3C,60,3C
Symbol,61,3D,61,3D
Symbol,62,3E,62,3E
Symbol,63,3F,63,3F
Symbol,64,40,8773,2245
Symbol,65,41,913,391
Symbol,66,42,914,392
Symbol,67,43,935,3A7
Symbol,68,44,916,394
Symbol,69,45,917,395
Symbol,70,46,934,3A6
Symbol,71,47,915,393
Symbol,72,48,919,397
Symbol,73,49,921,399
Symbol,74,4A,977,3D1
Symbol,75,4B,922,39A
Symbol,76,4C,923,39B
Symbol,77,4D,924,39C
Symbol,78,4E,925,39D
Symbol,79,4F,927,39F
Symbol,80,50,928,3A0
Symbol,81,51,920,398
Symbol,82,52,929,3A1
Symbol,83,53,931,3A3
Symbol,84,54,932,3A4
Symbol,85,55,933,3A5
Symbol,86,56,962,3C2
Symbol,87,57,937,3A9
Symbol,88,58,926,39E
Symbol,89,59,936,3A8
Symbol,90,5A,918,396
Symbol,91,5B,91,5B
Symbol,92,5C,8756,2234
Symbol,93,5D,93,5D
Symbol,94,5E,8869,22A5
Symbol,95,5F,95,5F
Symbol,96,60,8254,203E
Symbol,97,61,945,3B1
Symbol,98,62,946,3B2
Symbol,99,63,967,3C7
Symbol,100,64,948,3B4
Symbol,101,65,949,3B5
Symbol,102,66,966,3C6
Symbol,103,67,947,3B3
Symbol,104,68,951,3B7
Symbol,105,69,953,3B9
Symbol,106,6A,981,3D5
Symbol,107,6B,954,3BA
Symbol,108,6C,955,3BB
Symbol,109,6D,956,3BC
Symbol,110,6E,957,3BD
Symbol,111,6F,959,3BF
Symbol,112,70,960,3C0
Symbol,113,71,952,3B8
Symbol,114,72,961,3C1
Symbol,115,73,963,3C3
Symbol,116,74,964,3C4
Symbol,117,75,965,3C5
Symbol,118,76,982,3D6
Symbol,119,77,969,3C9
Symbol,120,78,958,3BE
Symbol,121,79,968,3C8
Symbol,122,7A,950,3B6
Symbol,123,7B,123,7B
Symbol,124,7C,124,7C
Symbol,125,7D,125,7D
Symbol,126,7E,126,7E
Symbol,160,A0,8364,20AC
